Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (�J/K),Samp HC Err (�J/K),Addenda HC (�J/K),Addenda HC Err (�J/K),Total HC (�J/K),Total HC Err (�J/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (�J/K/K),Addenda Offset HC (�J/K)
3880191123.07729,CALFILE: C:\QDDYNA~1\HEATCA~1\TempCal\Standard\Puck1992.cal|Addenda #161 measured on 12/13/2022 from 9.7908 to 302.46 K
3880191123.079,,1857,300.003,300.003,0.21827143,9.8999999E-6,301.96555,5.0970081,3117.4888,13.68,9460.1183,8.404,12577.607,10.8,0.39291681,42.442374,,,50.292449,1.616E4,1,,,,0.00029634552,84.470455,91183.195,10.323988,0
3880191880.41236,,1857,295.795,295.795,0.29102859,9.8999999E-6,297.97726,5.0274253,3078.7256,13.31,9363.5914,9.152,12442.317,9.669,0.016595136,42.259304,,,48.604067,1.761E4,1,,,,0.00029442787,84.884748,88790.447,10.332082,0
3880192683.84448,,1857,291.591,291.591,0.36378571,9.8999999E-6,293.72936,4.9324657,3066.8518,13.16,9272.2826,9.552,12339.134,9.045,0.021443231,43.003899,,,677.45151,1.721E4,1,,,,0.0002869306,84.518609,86276.936,10.44108,0
3880193497.61836,,1857,287.387,287.387,0.31528097,9.8999999E-6,289.51393,4.8911366,3056.3755,13.43,9181.5335,9.679,12237.909,9.305,0.024470765,43.656565,,,-49.425666,1.879E4,1,,,,0.00028032231,86.007797,83818.315,10.55692,0
3880194317.95323,,1857,283.179,283.179,0.31528097,9.8999999E-6,285.30527,4.851251,3031.7516,13.47,9065.3319,9.873,12097.084,9.16,0.024842848,44.137385,,,88.401186,2.452E4,1,,,,0.00027407794,87.31313,81399.096,10.626343,0
3880195141.78263,,1857,278.977,278.977,0.35165954,9.8999999E-6,281.09111,4.8064489,3014.4022,13.48,8917.3035,10.19,11931.706,8.817,0.019784319,44.565664,,,129.17128,2.573E4,1,,,,0.00026773315,88.27477,79012.212,10.723933,0
3880196013.97753,,1857,274.767,274.767,0.32740715,9.8999999E-6,276.84101,4.7635058,3003.3589,13.26,8765.2064,10.18,11768.565,8.491,0.024100887,45.150021,,,147.79068,2.488E4,1,,,,0.00026065471,89.131327,76640.947,10.848678,0
3880196893.52143,,1857,270.565,270.565,0.2667762,9.8999999E-6,272.62227,4.7213726,2983.544,12.67,8625.0593,9.844,11608.603,7.977,0.019532215,45.631172,,,176.3474,1.298E4,1,,,,0.00025440073,90.300041,74322.904,10.943875,0
3880197777.59014,,1857,266.356,266.356,0.25465,9.8999999E-6,268.40694,4.6711492,2965.012,12.59,8489.44,9.665,11454.452,8.065,0.017108616,46.101139,,,198.03348,277.3,1,,,,0.00024846353,91.262344,72042.288,11.046704,0
3880198670.49441,,1857,262.152,262.152,0.27890238,9.8999999E-6,264.18538,4.6171546,2947.2601,12.57,8355.7921,9.613,11303.052,8.105,0.017335873,46.57857,,,215.60877,2.373E4,1,,,,0.00024266636,92.202278,69793.918,11.15603,0
3880199568.32507,,1857,257.945,257.945,0.31528097,9.8999999E-6,259.96336,4.5609585,2928.0606,12.53,8224.7705,9.401,11152.831,8.285,0.017052595,47.033901,,,232.35285,1.633E5,1,,,,0.00023712324,93.157139,67580.949,11.263359,0
3880200511.43788,,1857,253.737,253.737,0.29102859,9.8999999E-6,255.70376,4.5081724,2914.319,12,8092.3633,9.38,11006.682,7.484,0.019923128,47.63893,,,241.86381,1.187E4,1,,,,0.00023104386,94.067803,65384.414,11.397247,0
3880201467.4456,,1857,249.534,249.534,0.27890238,9.8999999E-6,251.47152,4.4571839,2898.7001,12.33,7957.6817,9.842,10856.382,7.421,0.020336014,48.125737,,,252.02092,9.763E6,1,,,,0.0002255837,95.277859,63237.926,11.526952,0
3880202430.13993,,1857,245.327,245.327,0.24252383,9.8999999E-6,247.23866,4.3982482,2882.8775,12.37,7822.4064,9.945,10705.284,7.362,0.020543475,48.588734,,,261.19109,2.387E4,1,,,,0.0002203244,96.251474,61126.955,11.660302,0
3880203400.08876,,1857,241.122,241.122,0.27890238,9.8999999E-6,243.00784,4.3381929,2862.7386,11.86,7688.135,9.233,10550.874,7.438,0.021339482,49.032877,,,272.75721,3.092E4,1,,,,0.00021517957,97.177468,59052.811,11.780437,0
3880204371.01119,,1857,236.915,236.915,0.25465,9.8999999E-6,238.77759,4.2759191,2842.5776,11.4,7551.6442,8.557,10394.222,7.536,0.022893337,49.439524,,,283.05187,,1,,,,0.00021024114,98.065755,57014.739,11.904708,0
3880205350.30429,,1857,232.709,232.709,0.3031548,9.8999999E-6,234.54393,4.2132046,2822.9102,10.97,7410.817,8.304,10233.727,7.172,0.024479185,49.83664,,,291.86175,560.2,1,,,,0.00020534545,98.879048,55010.856,12.035742,0
3880206336.44012,,1857,228.503,228.503,0.36378571,9.8999999E-6,230.30599,4.1496432,2802.7159,10.61,7265.8327,8.089,10068.549,6.871,0.023485319,50.206356,,,300.02347,1.58E4,1,,,,0.0002005433,99.67328,53040.847,12.169531,0
3880207329.86743,,1857,224.296,224.296,0.31528097,9.8999999E-6,226.07039,4.0867542,2781.0568,10.45,7114.6084,7.821,9895.6652,6.925,0.025082104,50.52033,,,308.16551,2.818E6,1,,,,0.00019587491,100.41271,51107.822,12.301729,0
3880208329.62312,,1857,220.092,220.092,0.3031548,9.8999999E-6,221.8354,4.0227696,2761.5358,10.45,6953.7973,7.653,9715.3332,7.115,0.028465827,50.787536,,,314.10437,293.4,1,,,,0.00019129365,101.04066,49210.945,12.44858,0
3880209329.93777,,1857,215.887,215.887,0.29102859,9.8999999E-6,217.60438,3.9592438,2736.2059,10.34,6783.3741,7.502,9519.58,7.114,0.029296836,50.928195,,,322.57433,392.5,1,,,,0.0001869216,101.57507,47351.666,12.574222,0
3880210334.72354,,1857,211.679,211.679,0.29102859,9.8999999E-6,213.36791,3.8955235,2710.1338,10.09,6605.3797,7.243,9315.5135,7.02,0.027944967,51.101624,,,330.43846,245.7,1,,,,0.00018229388,101.85639,45525.867,12.701693,0
3880211342.57302,,1857,207.472,207.472,0.29102859,9.8999999E-6,209.13456,3.8319654,2688.3658,10.03,6428.4489,7.103,9116.8146,7.088,0.030708841,51.288774,,,335.15707,217,1,,,,0.00017775458,102.20325,43737.266,12.854718,0
3880212350.92003,,1857,203.266,203.266,0.32740715,9.8999999E-6,204.90557,3.7671985,2663.2692,9.982,6258.9665,7.216,8922.2356,6.897,0.0333997,51.460164,,,340.82278,194.7,1,,,,0.00017338141,102.57755,41986.293,12.997544,0
3880213359.57571,,1857,199.063,199.063,0.2667762,9.8999999E-6,200.6753,3.7035802,2632.543,10.1,6091.9062,7.216,8724.4493,7.062,0.034154026,51.600117,,,348.33806,175.5,1,,,,0.00016907809,102.92033,40270.577,13.118421,0
3880214373.97117,,1857,194.856,194.856,0.29102859,9.8999999E-6,196.44481,3.6376808,2604.5995,10.05,5923.819,6.965,8528.4185,7.247,0.033056944,51.727392,,,353.64767,161.3,1,,,,0.00016487238,103.20023,38590.564,13.258683,0
3880215386.87182,,1857,190.651,190.651,0.24252383,9.8999999E-6,192.21764,3.5721958,2575.2381,9.649,5754.798,6.794,8330.0361,6.852,0.034656452,51.797723,,,358.78205,148.8,1,,,,0.00016081858,103.45478,36947.623,13.397512,0
3880216401.04473,,1857,186.445,186.445,0.27890238,9.8999999E-6,187.97639,3.5055171,2543.4092,9.603,5583.9556,6.788,8127.3648,6.793,0.033233541,51.83422,,,364.11357,137.9,1,,,,0.00015679535,103.59545,35335.122,13.530472,0
3880217415.78942,,1857,182.239,182.239,0.24252383,9.8999999E-6,183.74727,3.4382306,2513.5617,9.469,5411.7085,6.76,7925.2702,6.63,0.035226186,51.827372,,,367.85313,128.8,1,,,,0.00015291669,103.66844,33763.059,13.679451,0
3880218429.51926,,1857,178.034,178.034,0.32740715,9.8999999E-6,179.51858,3.3697775,2481.7878,9.349,5238.4597,6.568,7720.2475,6.652,0.034861868,51.756108,,,371.6039,120.5,1,,,,0.00014916592,103.65474,32226.92,13.824685,0
3880219442.20932,,1857,173.828,173.828,0.31528097,9.8999999E-6,175.27277,3.3009035,2446.6558,8.969,5064.6933,6.15,7511.3491,6.529,0.035085874,51.628517,,,375.80451,112.5,1,,,,0.00014548838,103.51222,30720.543,13.959133,0
3880220456.2589,,1857,169.622,169.622,0.32740715,9.8999999E-6,171.03138,3.2298152,2410.8257,8.907,4889.0205,5.736,7299.8462,6.813,0.038096618,51.461545,,,379.46087,105.5,1,,,,0.00014185051,103.25703,29251.732,14.095809,0
3880221464.32309,,1857,165.414,165.414,0.3031548,9.8999999E-6,166.79265,3.1586856,2373.7387,8.537,4709.1113,5.547,7082.85,6.489,0.037104283,51.220916,,,382.76956,98.89,1,,,,0.00013828043,102.92309,27819.787,14.231675,0
3880222522.03478,,1857,161.21,161.21,0.3031548,9.8999999E-6,162.55773,3.1473796,2328.5553,8.741,4526.136,5.428,6854.6913,8.741,0.040631724,51.330773,0.12939001,98.885833,387.97061,92.52,1,,,,0.00013371368,102.44183,26425.016,14.324482,0
3880223578.85981,,1857,157.002,157.002,0.32740715,9.8999999E-6,158.32702,3.0895259,2286.8352,8.452,4343.3134,5.275,6630.1487,8.452,0.041937833,51.027642,0.13823252,98.81191,391.15568,86.88,1,,,,0.00013011885,102.66155,25067.445,14.443746,0
3880224633.56856,,1857,152.797,152.797,0.32740715,9.8999999E-6,154.0922,3.020468,2244.2715,8.28,4158.9267,5.212,6403.1982,8.28,0.04493118,50.643834,0.13982423,98.798171,393.77995,81.74,1,,,,0.00012662535,102.05528,23744.407,14.564472,0
3880225678.50404,,1857,148.593,148.593,0.3031548,9.8999999E-6,149.85853,2.9499288,2198.3866,8.19,3973.7368,5.183,6172.1233,8.19,0.044213823,50.164374,0.14330216,98.765732,396.59704,76.88,1,,,,0.00012323361,101.28767,22457.579,14.669746,0
3880226717.10872,,1857,144.386,144.386,0.24252383,9.8999999E-6,145.62403,2.8768233,2152.1874,7.897,3788.9125,4.914,5941.0999,7.897,0.044803019,49.612004,0.13891249,98.798749,398.67361,72.36,1,,,,0.00011994286,100.32875,21206.357,14.779068,0
3880227745.90338,,1857,140.181,140.181,0.33953336,9.8999999E-6,141.39019,2.8045245,2103.4615,7.537,3604.488,4.531,5707.9494,7.537,0.046519012,48.982519,0.13748482,98.804356,400.65063,68.06,1,,,,0.00011672238,99.224007,19991.185,14.876998,0
3880228757.88821,,1857,135.975,135.975,0.32740715,9.8999999E-6,137.15663,2.7298654,2052.2474,7.455,3419.462,4.385,5471.7094,7.455,0.046019235,48.271146,0.13637315,98.805023,402.47971,64.1,1,,,,0.00011354703,97.965039,18811.941,14.962802,0
3880229806.77558,,1857,131.769,131.769,0.32740715,9.8999999E-6,132.90218,2.6577799,2001.3247,6.69,3234.052,4.318,5235.3768,6.69,0.053879024,47.678369,0.15005133,98.679679,403.33487,60.23,1,,,,0.00011002149,96.542293,17662.988,15.05863,0
3880230847.97558,,1857,127.564,127.564,0.27890238,9.8999999E-6,128.66453,2.588174,1944.6663,6.402,3050.767,4.049,4995.4333,6.402,0.056234155,46.860503,0.15292392,98.64033,404.89631,56.63,1,,,,0.00010682563,95.356739,16554.56,15.114238,0
3880231870.1859,,1857,123.357,123.357,0.1333881,9.8999999E-6,124.43103,2.5153574,1885.5237,6.173,2868.4265,3.77,4753.9501,6.173,0.056227554,45.928319,0.14781321,98.667432,406.22508,53.24,1,,,,0.00010372866,93.721006,15483.082,15.153163,0
3880232875.3479,,1857,119.15,119.15,0.19401906,9.8999999E-6,120.19854,2.4412207,1824.3434,6.018,2686.7851,3.641,4511.1285,6.018,0.057963207,44.912074,0.14705098,98.652932,407.18125,50.08,1,,,,0.0001006686,91.856637,14447.688,15.177751,0
3880233860.39751,,1857,114.946,114.946,0.16976668,9.8999999E-6,115.96412,2.3656696,1759.8,5.804,2507.7403,3.445,4267.5403,5.804,0.056015284,43.804174,0.1433166,98.66172,408.05753,47.06,1,,,,9.7648598E-5,89.824148,13447.677,15.175383,0
